Image,image_desc,model_name,price,from
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - iPhone 14 (128 GB) - Blue,Apple - iPhone 14 (128 GB) - Blue,"₹69,900",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Apple - iPhone 13 128 GB (Blue, 4 GB RAM)","Apple - iPhone 13 128 GB (Blue, 4 GB","₹62,999",Gadgets Now
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - iPhone 14 5G 128GB Blue (2022),Apple - iPhone 14 5G 128GB Blue  ...,"₹79,900",Apple
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - iPhone 11 Pro (256GB) - Silver New Seal pack,Apple - iPhone 11 Pro (256GB) -  ...,"₹49,999",Hi laptop.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - iPhone 11 Pro 256GB - midnight Green - Ovantica,Apple - iPhone 11 Pro 256GB -  ...,"₹36,400",Ovantica.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - Iphone X 64Gb (Certified Refurbished) (Good),Apple - Iphone X 64Gb (Certified  ...,"₹18,900",Best of Indian Products
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - iPhone 14 Pro Max (256 GB) - Silver,Apple - iPhone 14 Pro Max (256 GB) -,"₹1,49,900",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Apple - iPhone 14 Pro Max 512 GB (Deep Purple, 6 GB RAM)",Apple - iPhone 14 Pro Max 512 GB  ...,"₹1,57,999",Gadgets Now
