Image,model_name,price,from
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Samsung - Galaxy M34 5G |6 GB | 128,"₹18,999",Samsung.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Samsung - Galaxy S10 (White, 8GB  ...","₹31,570",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Samsung - Galaxy M14 5G (4GB  ...,"₹14,490",Samsung.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Samsung - Galaxy M13 | 6+128GB |  ...,"₹12,999",Samsung.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Samsung - Galaxy M13 (Aqua Green,","₹12,999",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Samsung - Galaxy M13 | 6+128GB |  ...,"₹12,999",Samsung.com
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Samsung - Galaxy M33 5G (Emerald,"₹16,999",Amazon.in
