Image,image_desc,model_name,price,from
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)","Redmi 10 Power (Power Black, 8GB","₹12,499",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Xiaomi Redmi 12C 64 GB (Royal Blue, 4 GB RAM)","Xiaomi Redmi 12C 64 GB (Royal Blue,","₹9,499",Gadgets Now
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Xiaomi Mi Redmi Note 7 32GB 3GB RAM Refurbished,Xiaomi Mi Redmi Note 7 32GB 3GB,"₹5,499",vlebazaar
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Redmi Note 10t 5g Chromium White 64gb/4gb Ram Refurbished,Redmi Note 10t 5g Chromium White  ...,"₹9,499",vlebazaar
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Redmi - Note 11T 5G (Stardust White, 8GB RAM, 128GB ROM) | Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers|","Redmi - Note 11T 5G (Stardust White,","₹18,499",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of Redmi - Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers|Get 2","Redmi - Note 11T 5G (Matte Black,  ...","₹17,999",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Image of MI 10T 5G Cosmic Black, 8GB RAM, 128GB Storage - |Additional Exchange/No Cost EMI Offers","MI 10T 5G Cosmic Black, 8GB RAM,  ...","₹22,999",Amazon.in
