Image,image_desc,model_name,price,from
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - iPhone 14 (128 GB) - Blue,Apple - iPhone 14 (128 GB) - Blue,"₹66,999",Amazon.in
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - iPhone 14 5G 128GB Blue (2022),Apple - iPhone 14 5G 128GB Blue  ...,"₹79,900",Apple
"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Image of Apple - iPhone 14 Pro Max (128 GB) - Silver,Apple - iPhone 14 Pro Max (128 GB) -,"₹1,27,999",Amazon.in
